x,y
5.025239427533844,0.6778410547915208
5.014380308649946,0.9181190305640212
5.0008566341194545,1.1563764618612336
4.984408897978912,1.3940525090785711
4.964590343334875,1.632371702639221
4.940771105589435,1.8724746461284143
4.912050674273807,2.115434244497381
4.877329357928819,2.3620706550721504
4.834826104703108,2.6129390081781065
4.7825048888511,2.867544152985591
4.717423797684289,3.1237753681434013
4.637000337848335,3.3773963889938745
4.538372098381307,3.6230826529325286
4.418378847209517,3.8554356970518247
4.273455627657364,4.06913798652133
4.0978135388932735,4.255824935088249
3.8989273199610692,4.418693594324411
3.6817788565671803,4.560656611632709
3.4493828480100843,4.683420034855171
3.2048437764563915,4.789483813899459
2.950204888286437,4.880400295435411
2.6871839965051816,4.957454809737069
2.417289600905235,5.021692631834931
2.1418978905448163,5.073947390722813
1.862297463769937,5.11487743653093
1.579709673481052,5.14502473366419
1.2952878186743373,5.1649255069210085
1.0100502033120469,5.174814894059612
0.7249323913515079,5.174850840061662
0.4407755144717733,5.165250659760364
0.15835864616767786,5.146032948739723
-0.12159407522887661,5.117185243596829
-0.3984526682270617,5.078812427396556
-0.6716776966321503,5.0310593869180895
-0.9410234424618138,4.974520782163706
-1.2062401234672766,4.90955565734906
-1.4669879025833117,4.8362715977925035
-1.7227394749658322,4.75444182707605
-1.9725195009614387,4.663226889756325
-2.2150189094788706,4.561551979369272
-2.4483840545422213,4.4479821141563765
-2.6702001457621702,4.320952236016149
-2.877124323342559,4.178737950532396
-3.06817431884615,4.0224442554185185
-3.241342934437971,3.8522481362638725
-3.3904466312108177,3.6661604390947424
-3.50782918343599,3.4636467716911903
-3.5829965319059127,3.2467057547912797
-3.60974702989779,3.023170832904754
-3.6055811837724914,2.800220141440729
-3.568037905337003,2.580987061452668
-3.4888879622876043,2.371119085412985
-3.358935591215282,2.181511477025131
-3.1942001228120067,2.012187615817212
-3.001033587928487,1.8632940393995223
-2.7845721426709127,1.7339627426348274
-2.549184136663942,1.622654982978148
-2.2989747742350852,1.5269971966548406
-2.037885767468618,1.4437710896586569
-1.7699278205230131,1.3688089742131342
-1.4985351590576181,1.2980934685837657
-1.231099462567463,1.2269080484375698
-0.966854474291867,1.1522957606212192
-0.7079513072182828,1.0720165995462765
-0.4565289499167168,0.9839589322987181
-0.2152891436891098,0.8856501289638955
0.012893435388324404,0.774840286998675
0.22489028092348312,0.6496220640070554
0.41712940204646115,0.5084617283126124
0.5840503843136327,0.34947381619345785
0.7187958597687454,0.17207247815687374
