Segment Type,Start Point X,Start Point Y,End Point X,End Point Y
Straight,5.047814846038818,-0.6443717181682587,5.047791004180908,-0.3427266478538513
Straight,5.047791004180908,-0.3427266478538513,5.047769069671631,-0.041081611067056656
Straight,5.047769069671631,-0.041081611067056656,5.047745943069458,0.26056334376335144
Straight,5.047745943069458,0.26056334376335144,5.047723054885864,0.5622083842754364
Straight,5.047723054885864,0.5622083842754364,5.047713151170359,0.7338535442132044
Left Turn,5.054185152053833,3.2772375345230103,5.043642044067383,3.578518033027649
Left Turn,5.043642044067383,3.578518033027649,4.985517501831055,3.873627543449402
Left Turn,4.985517501831055,3.873627543449402,4.864901304244995,4.149420976638794
Left Turn,4.864901304244995,4.149420976638794,4.694380521774292,4.397387504577637
Left Turn,4.694380521774292,4.397387504577637,4.485466480255127,4.614418983459473
Left Turn,4.485466480255127,4.614418983459473,4.248257637023926,4.800158500671387
Left Turn,-1.0805605053901672,5.3232011795043945,-1.3821905255317688,5.322984933853149
Left Turn,-3.7318731546401978,4.101363658905029,-3.90584647655487,3.8554480075836186
Left Turn,-3.90584647655487,3.8554480075836186,-4.039863586425781,3.585712075233459
Left Turn,-4.039863586425781,3.585712075233459,-4.1200443506240845,3.2955139875411987
Left Turn,-4.1200443506240845,3.2955139875411987,-4.144556403160095,2.995144486427307
Left Turn,-4.144556403160095,2.995144486427307,-4.126953125,2.6942654848098755
Left Turn,-4.126953125,2.6942654848098755,-4.071332931518555,2.398432970046997
Left Turn,-4.071332931518555,2.398432970046997,-3.958806037902832,2.1193479895591736
Left Turn,-3.958806037902832,2.1193479895591736,-3.783313035964966,1.8751635551452637
Left Turn,-3.783313035964966,1.8751635551452637,-3.5551005601882935,1.6790630221366882
Left Turn,-3.5551005601882935,1.6790630221366882,-3.2907774448394775,1.5345749258995056
Left Turn,-3.4545594453811646,-1.990263044834137,-3.7552355527877808,-2.0102375149726868
Left Turn,-3.7552355527877808,-2.0102375149726868,-4.043314099311829,-2.0968234539031982
Left Turn,-4.043314099311829,-2.0968234539031982,-4.30501401424408,-2.2452834844589233
Left Turn,-4.30501401424408,-2.2452834844589233,-4.5301430225372314,-2.4454654455184937
Left Turn,-4.5301430225372314,-2.4454654455184937,-4.715251445770264,-2.6832419633865356
Left Turn,-4.715251445770264,-2.6832419633865356,-4.861320495605469,-2.9466885328292847
Left Turn,-4.861320495605469,-2.9466885328292847,-4.9679179191589355,-3.228197932243347
Left Turn,-4.9679179191589355,-3.228197932243347,-5.033743619918823,-3.522189497947693
