5.047713151170358792e+00,7.338535442132043674e-01,4.514313466526016505e+00,7.338172747809688090e-01,5.581112835814255213e+00,7.338898136455174193e-01
5.047705650329589844e+00,8.638535439968109131e-01,4.514306068420410156e+00,8.638172745704650879e-01,5.581105232238769531e+00,8.638898134231567383e-01
5.047695683452098514e+00,9.938535436147392099e-01,4.514296203437511146e+00,9.938172741961655010e-01,5.581095163484381061e+00,9.938898130332344261e-01
5.047682523727416992e+00,1.165498495101928711e+00,4.514283180236816406e+00,1.165436029434204102e+00,5.581081867218017578e+00,1.165560960769653320e+00
5.047635078430175781e+00,1.467142522335052490e+00,4.514235019683837891e+00,1.467103004455566406e+00,5.581035137176513672e+00,1.467182040214538574e+00
5.047637939453125000e+00,1.768787980079650879e+00,4.514237880706787109e+00,1.768926978111267090e+00,5.581037998199462891e+00,1.768648982048034668e+00
5.047791957855224609e+00,2.070438981056213379e+00,4.514391899108886719e+00,2.070399045944213867e+00,5.581192016601562500e+00,2.070478916168212891e+00
5.047592401504516602e+00,2.372077941894531250e+00,4.514194011688232422e+00,2.370966911315917969e+00,5.580990791320800781e+00,2.373188972473144531e+00
5.046535491943359375e+00,2.673687577247619629e+00,4.513135910034179688e+00,2.674045085906982422e+00,5.579935073852539062e+00,2.673330068588256836e+00
5.047996997833251953e+00,2.975382566452026367e+00,4.514639854431152344e+00,2.982141017913818359e+00,5.581354141235351562e+00,2.968624114990234375e+00
5.054185152053833008e+00,3.277237534523010254e+00,4.520799160003662109e+00,3.273375034332275391e+00,5.587571144104003906e+00,3.281100034713745117e+00
5.043642044067382812e+00,3.578518033027648926e+00,4.513749122619628906e+00,3.517457962036132812e+00,5.573534965515136719e+00,3.639578104019165039e+00
4.985517501831054688e+00,3.873627543449401855e+00,4.476476192474365234e+00,3.714278936386108398e+00,5.494558811187744141e+00,4.032976150512695312e+00
4.864901304244995117e+00,4.149420976638793945e+00,4.398688793182373047e+00,3.890264987945556641e+00,5.331113815307617188e+00,4.408576965332031250e+00
4.694380521774291992e+00,4.397387504577636719e+00,4.281095027923583984e+00,4.060177803039550781e+00,5.107666015625000000e+00,4.734597206115722656e+00
4.485466480255126953e+00,4.614418983459472656e+00,4.128022193908691406e+00,4.218503952026367188e+00,4.842910766601562500e+00,5.010334014892578125e+00
4.248257637023925781e+00,4.800158500671386719e+00,3.947092056274414062e+00,4.359913825988769531e+00,4.549423217773437500e+00,5.240403175354003906e+00
3.989085912704467773e+00,4.953978538513183594e+00,3.740571022033691406e+00,4.482008934020996094e+00,4.237600803375244141e+00,5.425948143005371094e+00
3.715570926666259766e+00,5.080641984939575195e+00,3.515404939651489258e+00,4.586224079132080078e+00,3.915736913681030273e+00,5.575059890747070312e+00
3.430908441543579102e+00,5.179954051971435547e+00,3.280531883239746094e+00,4.668190002441406250e+00,3.581284999847412109e+00,5.691718101501464844e+00
3.137750506401062012e+00,5.250427484512329102e+00,3.034780979156494141e+00,4.727060794830322266e+00,3.240720033645629883e+00,5.773794174194335938e+00
